store_name,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,Monthly_Avg,YTD_2025
Rocket #636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.69,0.0,1.34,2.69
Rocket #637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.38,46.96,128.26,163.21,108.29,96.62,446.72
Rocket #638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.99,2.99,0.0,0.0,0.0,1.8,2.99
Rocket #639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.38,5.38,5.38
Rocket #640,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.98,0.0,29.97,2.29,0.0,10.05,32.26
Rocket #642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.44,9.48,15.96,31.92
Rocket #643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.97,11.98,1.39,8.45,25.34
Rocket #644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.19,0.0,0.0,0.0,0.55,2.19
Rocket #645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.17,0.0,0.0,3.06,9.17
Rocket #646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.17,14.26,0.0,0.0,13.35,7.76,27.61
Rocket #647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.38,14.34,0.0,0.0,4.93,19.72
Rocket #648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.26,0.0,9.13,18.26
Rocket #649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.99,0.0,0.0,14.66,5.16,20.65
Rocket #6491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.73,0.0,6.89,77.03,24.66,98.65
Rocket #6492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.92,91.21,26.22,259.23,194.34,130.98,571.0
Rocket #6493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.94,34.38,10.09,0.0,15.6,62.41
Rocket #6495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.85,27.32,51.31,135.19,12.67,49.07,226.49
Rocket #6497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.38,46.9,37.47,79.69,31.69,57.83,195.75
Rocket #6498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.37,308.1,320.55,598.27,246.75,312.41,1473.67
Rocket #6499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.15,19.24,11.98,0.0,11.84,47.37
Rocket #6500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.56,162.31,73.89,132.21,52.48,87.29,420.89
Rocket #6502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.31,140.01,208.87,213.52,75.49,153.84,637.89
